# 사람이 원리·입출력·조건을 비교해 편집하는 정본. 자동 추출 결과를 여기에 자동 병합하지 않는다.
# 그룹: @번호|요구 기능|기본 분야. 항목: 고정 키|타이틀|작동 원리|필요 조건|추가 참고자료 키
@1|물체를 지지·고정하거나 이동시킨다|PHYSICAL
electroluminescence|전계·전류 발광|전기적으로 주입·여기된 전하가 복사 전이하며 빛을 낸다.|적합한 발광 재료와 전극·구동 조건 필요. 비복사 손실·발열·열화 고려.|semiconductor
electrochromism|전기변색|전기화학적 산화·환원으로 물질의 광흡수·투과 특성을 바꾼다.|이온·전자 이동 경로와 가역 전위 범위 필요. 응답 시간·수명·잔색 고려.|electrochromism
liquid-crystal-modulation|액정 광변조|전기장으로 액정 분자의 배향을 바꿔 빛의 위상·편광·투과를 조절한다.|적합한 액정·배향층·전극 필요. 온도 범위·시야각·응답 지연 고려.|liquid-crystal
photonic-bandgap|광자 밴드갭|주기적 유전 구조의 다중 산란으로 특정 주파수·방향의 광전파를 억제한다.|파장에 맞는 주기·굴절률 대비 필요. 결함·흡수·방향·편광 의존성 고려.|photonic-bandgap
surface-plasmon|표면 플라스몬 공명|금속의 집단 전자 진동과 빛이 결합해 계면 부근 전자기장을 강화한다.|금속 유전율과 파장·형상·결합 조건 필요. 흡수 손실·발열 고려.|plasmon
acoustic-resonator|음향 공진기|공동·목·탄성 구조의 공진으로 특정 대역의 음향 응답을 크게 바꾼다.|목표 주파수에 맞는 형상과 손실 설계 필요. 대역폭·유동 소음 고려.|helmholtz
porous-sound-absorption|다공성 흡음|미세 공극을 지나는 음향 운동의 점성·열 손실로 소리를 감쇠시킨다.|공극 연결성과 두께·유동 저항을 대역에 맞춰야 함. 저주파 성능과 오염 고려.|porous-acoustics
electromagnetic-shielding|전자기 차폐|도전성·자성 구조가 전자기장을 반사·흡수하거나 경로를 바꾼다.|주파수·장 종류에 맞는 재료와 연속성 필요. 틈·접합·케이블 관통부 고려.|shielding
@14|전하·전류·전기적 특성을 제어한다|PHYSICAL
pn-rectification|PN 접합 정류|접합 장벽이 인가 전압 방향에 따라 전하 수송을 다르게 허용한다.|도핑·접합과 허용 전압·전류 범위 필요. 역누설·항복·온도 영향 고려.|
semiconductor-doping|반도체 도핑|불순물을 도입해 전하 운반자의 종류·농도와 전기적 특성을 바꾼다.|도펀트 종류·농도·활성화 공정 제어 필요. 결함·확산·보상 도핑 고려.|
field-effect-transistor|전계 효과|게이트 전기장으로 반도체 채널의 전하 밀도·전도도를 조절한다.|절연막·전극·채널 구조 필요. 누설·문턱 전압·단채널 효과 고려.|
photoelectric-emission|광전 방출|충분한 에너지의 광자가 표면 전자를 물질 밖으로 방출시킨다.|광자 에너지와 일함수 조건 필요. 표면 오염·진공·전자 수집 조건 고려.|
superconductivity|초전도|임계 조건 아래에서 직류 전기저항이 사라지는 상태를 이용한다.|임계 온도·전류·자기장 범위 유지 필요. 냉각·퀜치와 교류 손실 고려.|
meissner-effect|마이스너 효과|초전도 상태에서 내부 자속을 배제하는 자기 응답이 나타난다.|초전도 임계 조건 유지 필요. 제2종의 혼합 상태·자속 고정과 구분.|
josephson-effect|조지프슨 효과|약하게 연결된 두 초전도체 사이로 위상차에 따른 초전류가 흐른다.|초전도 접합과 저온·잡음 제어 필요. 임계 전류와 접합 균일성 확인.|
quantum-hall|양자 홀 효과|특정 조건의 이차원 전자계에서 홀 저항이 양자화된 평탄 구간을 보인다.|적합한 시료·강한 자계·온도 조건 필요. 접촉·전류·평탄 구간 확인.|
ferroelectricity|강유전성|자발 분극 방향을 전기장으로 전환하고 일부 분극을 유지한다.|강유전 상이 유지되는 온도·전계 범위 필요. 피로·누설·분극 고정 고려.|ferroelectric
triboelectric-charging|접촉 대전|서로 다른 표면의 접촉·분리 과정에서 전하가 이동·축적된다.|재료 조합·표면 상태·습도 확인 필요. 전하 누설·방전·마모 고려.|triboelectric
magnetoresistance|자기저항 효과|자기장·자화 배치에 따라 전자의 수송과 전기저항이 달라진다.|효과 종류에 맞는 재료·층 구조·자계 필요. 온도·히스테리시스 고려.|magnetoresistance
@15|화학 반응으로 물질을 변환한다|CHEMICAL
catalysis|촉매 작용|대체 반응 경로를 제공해 활성화 장벽을 낮추고 반응 속도를 바꾼다.|적합한 촉매·반응물·온도 필요. 평형 자체는 바꾸지 않으며 피독·열화 고려.|catalysis
water-electrolysis|물 전기분해|전기 에너지를 공급해 물을 수소와 산소로 분해한다.|전극·전해질·전원 필요. 과전압·가스 분리·불순물·열 관리 필요.|electrolysis
photocatalysis|광촉매 반응|광여기로 생긴 전하 등이 촉매 표면에서 산화·환원 반응을 일으킨다.|광원·촉매·반응물의 에너지 조건 일치 필요. 재결합·물질전달·부산물 고려.|photocatalysis
advanced-oxidation|고도 산화|활성 산화종을 만들어 산화하기 어려운 물질의 분해를 촉진한다.|산화제·광·촉매 등 해당 생성 조건 필요. 라디칼 소모물질·부산물 고려.|water-treatment
acid-base-reaction|산·염기 반응|양성자 등의 전달로 산·염기를 반응시켜 화학종 분포와 pH를 바꾼다.|농도·완충능·혼합과 반응열 확인 필요. 생성물 성질은 조합별 확인.|acid-base
precipitation-reaction|침전 반응|용해도 한계를 넘도록 화학종을 조절해 고체를 형성한다.|pH·이온 활성도·온도와 분리 단계 필요. 공침·착물 형성·미세 입자 고려.|precipitation
polymerization|중합|단량체의 반복 결합으로 고분자 사슬·망상 구조를 형성한다.|개시·촉매·온도 조건 필요. 반응열·분자량·잔류 단량체와 겔화 관리.|polymerization
hydrolysis|가수분해|물이 반응에 참여해 화학 결합을 끊는다.|결합 종류에 맞는 pH·온도·촉매·시간 필요. 모든 물질이 물만으로 빠르게 분해되지는 않음.|hydrolysis
pyrolysis|열분해|산소가 제한된 조건에서 가열해 물질을 작은 분자·탄화물 등으로 분해한다.|원료에 맞는 온도·체류 시간과 기체 처리 필요. 타르·잔사·생성물 분포 고려.|pyrolysis
metal-oxide-reduction|금속산화물 환원|환원제가 금속산화물의 산소를 제거해 금속 또는 낮은 산화 상태로 바꾼다.|온도·산소 퍼텐셜·환원가스 조건 필요. 평형·반응속도·불순물 고려.|reduction
sol-gel|졸–겔 반응|분산된 전구체의 가수분해·축합 등으로 연결된 무기 망상 구조를 만든다.|전구체·용매·물·촉매 비율 제어 필요. 수축·균열·잔류 용매 고려.|sol-gel
ozone-generation|오존 생성|방전·광여기 등으로 산소를 활성화해 오존을 형성한다.|산소원과 에너지 공급·냉각 필요. 오존 분해·부산물·누설 관리 필요.|ozone
@16|재료를 접합하거나 형성한다|PHYSICAL
diffusion-bonding|확산 접합|고온 접촉면의 원자 이동과 변형으로 공극을 줄여 고상 접합한다.|표면 청정도·온도·압력·시간 필요. 산화막·취성 반응층·고온 변형 고려.|
friction-stir-welding|마찰교반 용접|회전 공구가 재료를 연화·교반·압착해 일반적으로 벌크 용융 없이 접합한다.|공구·모재·회전·이송·축력과 지지 조건 필요. 미접합·공구 마모 고려.|
atomic-layer-deposition|원자층 증착(ALD)|전구체를 순차 공급해 자기제한 표면 반응을 반복하며 박막을 성장시킨다.|반응 온도·전구체·충분한 노출·퍼지 필요. 한 사이클이 항상 원자 한 층은 아님.|
photolithography|광리소그래피|패턴광에 따른 감광막의 화학 변화와 현상으로 미세 패턴을 만든다.|광학계·레지스트·노광·현상 조건 필요. 회절·광자 통계·초점·결함 고려.|
sintering|소결|입자의 표면·입계 등의 물질 이동으로 결합 목을 성장시키고 치밀화한다.|재료에 맞는 온도·분위기·시간 필요. 입성장·수축·잔류 기공 고려.|sintering
solidification|응고 성형|용융물의 핵생성·결정 성장으로 고체 형상을 형성한다.|열 제거와 형상 구속 필요. 수축·편석·기공·결정 조직 고려.|solidification
plastic-forming|소성 성형|재료의 항복을 넘는 하중으로 영구 변형을 만들어 형상을 바꾼다.|연성·온도·변형률 속도와 하중 경로 확인 필요. 파단·좌굴·스프링백 고려.|plasticity
sputter-deposition|스퍼터 증착|고에너지 입자가 표적 원자를 방출시키고 이를 기판에 증착한다.|진공·플라스마·표적·기판 조건 필요. 재스퍼터·응력·조성 변화 고려.|sputtering
laser-ablation|레이저 제거 가공|집중된 광에너지로 표면 재료를 기화·분해·분출시켜 제거한다.|재료에 맞는 파장·에너지 밀도·펄스 폭 필요. 열영향·재부착·입자 발생 고려.|laser-ablation
electrospinning|전기방사|전기력이 액체 제트를 늘리고 용매 증발·냉각으로 미세 섬유를 만든다.|점도·전도도·전압·유량·거리 조건 필요. 비드·불안정·잔류 용매 고려.|electrospinning
@17|손상을 억제하거나 재료를 강화한다|PHYSICAL
cathodic-protection|음극 방식|보호할 금속에 전자를 공급해 양극 용해 반응을 억제한다.|전해질 경로와 희생양극 또는 외부 전원 필요. 전위·전류 분포·수소 영향 고려.|corrosion
passivation|부동태화|표면의 얇고 치밀한 막이 추가 용해·산화 속도를 낮춘다.|재료와 환경에 맞는 막 안정 영역 필요. 염화물·흠집·틈부식 고려.|corrosion
precipitation-hardening|석출 강화|미세 석출물이 전위의 이동을 방해해 재료를 강화한다.|적합한 합금·용체화·시효 조건 필요. 과시효·취성·열적 안정성 고려.|precipitation-hardening
grain-refinement|결정립 미세화 강화|결정립 경계가 전위 이동을 방해해 일반적인 금속의 강도를 높인다.|재료·입도 범위 확인 필요. 초미세 영역의 다른 변형 기구와 연성 저하 고려.|grain-refinement
work-hardening|가공 경화|소성 변형으로 증가한 전위가 서로의 이동을 방해해 강도를 높인다.|가공량·재료 연성·온도 확인 필요. 연성 소모와 열에 의한 회복·재결정 고려.|plasticity
shot-peening|쇼트피닝|반복 충돌로 표면을 소성 변형시켜 압축 잔류 응력을 만든다.|충돌 강도·피복률과 재료 조건 필요. 과도한 거칠기·미세 균열 고려.|shot-peening
sacrificial-energy-absorption|희생 구조 에너지 흡수|주름·셀의 제어된 좌굴·소성 붕괴로 충격 에너지를 흡수한다.|하중 방향·변형 모드·충돌 속도에 맞는 설계 필요. 압밀 후 하중 급증 고려.|plasticity
barrier-coating|차단막 보호|연속된 막이 산소·수분·반응종의 이동을 늦춰 내부를 보호한다.|낮은 투과도와 결함 없는 피복·접착 필요. 핀홀·균열·모서리·열팽창차 고려.|barrier-coating
@18|생물학적 작용을 이용해 기능을 수행한다|BIOLOGICAL
enzyme-catalysis|효소 촉매|활성 부위가 기질을 선택적으로 결합해 생화학 반응의 장벽을 낮춘다.|효소에 맞는 pH·온도·보조인자 필요. 변성·저해·기질 공급 고려.|enzymes
fermentation|발효|미생물이 유기물을 대사하며 유기산·알코올 등 목표 물질을 만든다.|균주·기질·온도·pH·산소 조건 제어 필요. 오염·생성물 저해 고려.|fermentation
anaerobic-digestion|혐기성 소화|산소 없는 환경의 미생물 군집이 유기물을 단계적으로 분해해 바이오가스를 만든다.|군집 유지와 온도·pH·체류 시간 필요. 산 축적·독성·황화수소 고려.|anaerobic
photosynthesis|광합성|광에너지를 화학 에너지로 전환하고 탄소 고정 등에 이용한다.|생물에 맞는 빛·탄소원·영양분·온도 필요. 광저해·물질전달·생산물 수율 고려.|photosynthesis
biofilm-treatment|생물막 분해|표면에 부착한 미생물 군집이 공급된 오염물 등을 대사한다.|담체·영양과 대상 대사에 맞는 산소 조건 필요. 확산 저항·막 박리·막힘 고려.|water-treatment
pcr|중합효소 연쇄반응(PCR)|주형 분리·프라이머 결합·중합효소 신장을 반복해 표적 DNA를 증폭한다.|표적에 맞는 프라이머·효소·온도 주기 필요. 오염·비특이 증폭·억제물질 고려.|pcr
electroporation|전기천공|전기 펄스가 세포막의 투과성을 일시적 또는 비가역적으로 높인다.|세포·매질에 맞는 전계·펄스·전도도 필요. 발열·세포 손상·재봉합 고려.|electroporation
biomolecular-recognition|생체분자 인식|상보적인 분자 구조와 비공유 상호작용으로 표적을 선택적으로 결합한다.|결합쌍의 친화도·선택성과 pH·염도 조건 확인 필요. 비특이 결합·변성 고려.|recognition
@19|정보를 전달·추정하거나 시스템을 제어한다|INFORMATIONAL
negative-feedback|음의 피드백|목표와 측정값의 오차를 되돌려 제어 입력을 조절한다.|관측·구동 가능성과 안정성 확인 필요. 지연·포화·잡음 고려.|feedback
feedforward|피드포워드 보상|측정한 외란이나 목표 변화의 영향을 모델로 예측해 미리 보상한다.|적절한 모델과 외란 정보 필요. 모델 오차와 측정되지 않은 외란은 보정되지 않음.|feedforward
state-estimation|상태 추정|동역학 모델과 잡음이 있는 측정값을 결합해 직접 보이지 않는 상태를 추정한다.|관측 가능한 모델과 잡음 가정 필요. 모델 불일치·편향·비선형성 고려.|kalman
model-predictive-control|모델 예측 제어(MPC)|미래 응답을 예측하고 제약을 만족하는 입력을 반복 최적화한다.|예측 모델·목적함수·실시간 계산 여력 필요. 안정성·모델 오차·계산 지연 고려.|mpc
error-correcting-code|오류 정정 부호|중복 정보를 부호화해 전송·저장 중의 일부 오류를 검출·복구한다.|오류 모델에 맞는 부호·복호기 필요. 복구 한계·부호율·지연 고려.|ecc
lock-in-detection|동기 검파|기준 신호와 곱한 뒤 저역 통과시켜 같은 주파수·위상 성분을 추출한다.|기준 동기와 충분한 관측 시간 필요. 같은 대역의 잡음은 남으며 과입력 방지 필요.|lockin
phased-array|위상 배열|여러 방사·수신 요소의 상대 위상·진폭을 조절해 지향성을 만든다.|요소 간격·위상 보정과 대역 조건 필요. 격자 로브·상호 결합 고려.|phased-array
sampling-reconstruction|표본화와 신호 복원|대역 제한 신호를 충분한 속도로 표본화하고 필터로 연속 신호를 재구성한다.|이상적인 경우 최고 주파수의 두 배를 넘는 표본율 필요. 실제는 여유 대역·안티앨리어싱 필요.|sampling
